Region,Variable,Category,Base_Value,Exp_2pct,Exp_5pct,Exp_10pct,Chg_2pct,Chg_5pct,Chg_10pct,PctChg_2pct,PctChg_5pct,PctChg_10pct
GRC,VXMD_Info_Imports,Trade,503.1620,503.0750,502.9540,502.7680,-0.0870,-0.2080,-0.3940,-0.017291,-0.041339,-0.078305
HKG,VXMD_Info_Imports,Trade,2929.8300,2930.0100,2930.2700,2930.6600,0.1800,0.4400,0.8300,0.006144,0.015018,0.028329
HRV,VXMD_Info_Imports,Trade,3230.7000,3230.0100,3229.0600,3227.6700,-0.6900,-1.6400,-3.0300,-0.021358,-0.050763,-0.093788
HUN,VXMD_Info_Imports,Trade,1062.7500,1062.7900,1062.8600,1062.9500,0.0400,0.1100,0.2000,0.003764,0.010351,0.018819
IDN,VXMD_Info_Imports,Trade,21477.9000,21478.8000,21480.1000,21482.1000,0.9000,2.2000,4.2000,0.004190,0.010243,0.019555
IND,VXMD_Info_Imports,Trade,23548.3000,23550.5000,23553.6000,23558.3000,2.2000,5.3000,10.0000,0.009343,0.022507,0.042466
IRL,VXMD_Info_Imports,Trade,130.7420,130.7910,130.8630,130.9790,0.0490,0.1210,0.2370,0.037478,0.092549,0.181273
ITA,VXMD_Info_Imports,Trade,330.6860,330.7690,330.8910,331.0870,0.0830,0.2050,0.4010,0.025099,0.061992,0.121263
JPN,VXMD_Info_Imports,Trade,10088.0000,10088.7000,10089.6000,10091.1000,0.7000,1.6000,3.1000,0.006939,0.015860,0.030730
KOR,VXMD_Info_Imports,Trade,13136.9000,13138.6000,13140.9000,13144.3000,1.7000,4.0000,7.4000,0.012941,0.030449,0.056330
LTU,VXMD_Info_Imports,Trade,94.2931,94.3259,94.3741,94.4521,0.0328,0.0810,0.1590,0.034785,0.085902,0.168623
LUX,VXMD_Info_Imports,Trade,39.7756,39.8050,39.8482,39.9182,0.0294,0.0726,0.1426,0.073915,0.182524,0.358511
LVA,VXMD_Info_Imports,Trade,270.5210,270.5360,270.5590,270.5960,0.0150,0.0380,0.0750,0.005545,0.014047,0.027724
MENA,VXMD_Info_Imports,Trade,26051.7000,26052.5000,26053.5000,26054.9000,0.8000,1.8000,3.2000,0.003071,0.006909,0.012283
MEX,VXMD_Info_Imports,Trade,458.3250,458.3190,458.3090,458.2930,-0.0060,-0.0160,-0.0320,-0.001309,-0.003491,-0.006982
MLT,VXMD_Info_Imports,Trade,238.4800,238.5890,238.7480,239.0040,0.1090,0.2680,0.5240,0.045706,0.112378,0.219725
MYS,VXMD_Info_Imports,Trade,4970.4800,4970.7500,4971.1100,4971.6500,0.2700,0.6300,1.1700,0.005432,0.012675,0.023539
NGA,VXMD_Info_Imports,Trade,197.3940,197.4030,197.4150,197.4330,0.0090,0.0210,0.0390,0.004559,0.010639,0.019757
NLD,VXMD_Info_Imports,Trade,80.1482,80.2141,80.3113,80.4697,0.0659,0.1631,0.3215,0.082223,0.203498,0.401132
NOR,VXMD_Info_Imports,Trade,665.3320,665.9860,666.9510,668.5220,0.6540,1.6190,3.1900,0.098297,0.243337,0.479460
NZL,VXMD_Info_Imports,Trade,107.1360,107.1420,107.1490,107.1610,0.0060,0.0130,0.0250,0.005600,0.012134,0.023335
Oth_E_Asia,VXMD_Info_Imports,Trade,6109.9600,6110.3100,6110.8100,6111.5600,0.3500,0.8500,1.6000,0.005728,0.013912,0.026187
